fecha_operacion,numero_operacion,tipo_operacion,monto,moneda,cuenta_origen,cuenta_destino,banco_origen,banco_destino,descripcion,estado,canal,content_hash
2025-09-27 18:50:16.043113,OP-00002109,RETIRO,49025.31,USD,930-2363089-4-29,168-8188920-2-54,SCOTIABANK,,Forma soy dar vamos libertad él ojos.,PENDIENTE,WEB,40a79515ce1f4122
2025-09-26 12:41:16.043113,OP-00003038,DEPOSITO,17641.86,PEN,841-8028239-3-76,878-1468016-7-56,BBVA,,Conjunto uso respuesta campaña hacía.,COMPLETADA,WEB,e675584ea5f67947
2025-09-11 18:22:16.043113,OP-00009626,TRANSFERENCIA,21429.04,PEN,416-6966615-7-89,,SCOTIABANK,SCOTIABANK,Primeras corazón silencio figura estructura pesetas.,COMPLETADA,WEB,ec30d702492abbac
2025-09-05 19:28:16.043113,OP-00003541,TRANSFERENCIA,41950.16,PEN,442-1485489-5-32,334-9250812-3-21,BCP,BCP,Zona aspecto habla dicho era habían.,COMPLETADA,WEB,d00b42286b6be43b
2025-09-12 02:37:16.043113,OP-00008963,TRANSFERENCIA,8780.19,PEN,194-1928673-0-41,322-2528341-8-90,BCP,BN,Ha médico servicios lópez gobierno.,COMPLETADA,WEB,b8b450d082cbbd91
2025-09-29 18:05:16.043113,OP-00005390,DEPOSITO,3147.15,PEN,588-7592203-7-82,816-1832433-3-58,BCP,SCOTIABANK,Hemos uno joven viaje esos marzo.,COMPLETADA,ATM,80f55bd9dc74dc0a
2025-09-24 17:13:16.043113,OP-00009297,RETIRO,26684.99,USD,134-7095571-3-56,257-5120020-3-54,INTERBANK,,Algunos mitad señaló ojos.,PENDIENTE,MOBILE,3f84f4396300d316
2025-09-10 09:59:16.043113,OP-00001278,DEPOSITO,32698.04,PEN,644-7449472-3-75,,CITIBANK,BN,Pedro mientras seguridad tampoco.,COMPLETADA,MOBILE,3e6718ae89035f8d
2025-09-23 14:10:16.043113,OP-00003530,TRANSFERENCIA,7402.45,PEN,391-6898167-6-41,571-5836145-4-32,PICHINCHA,,Cantidad calle diferentes cultura.,COMPLETADA,ATM,3205709fbea09811
2025-09-26 05:54:16.043113,OP-00001881,RETIRO,18657.69,PEN,161-6910050-5-16,533-9784420-4-40,PICHINCHA,BBVA,Niños medio capital principal relación.,COMPLETADA,WEB,2fd531e8813c21b1
2025-09-21 06:18:16.043113,OP-00009570,DEPOSITO,20772.99,PEN,103-6878069-8-54,,RIPLEY,,Vio explicó análisis recursos espera total río.,COMPLETADA,WEB,d2988672d92d221f
2025-09-07 13:22:16.043113,OP-00003060,RETIRO,11643.11,PEN,101-6087941-8-92,115-1001034-4-21,BN,BANBIF,Pero blanca españa siguientes llamado ellas televisión.,COMPLETADA,WEB,5dcbcc774fd5d2bc
2025-09-13 17:53:16.043113,OP-00001958,RETIRO,8862.89,PEN,914-7403655-4-18,786-2631108-6-22,FALABELLA,,Ciencia información pequeño comisión considera.,COMPLETADA,WEB,6bf446e39377e85e
2025-09-20 12:06:16.043113,OP-00001195,RETIRO,14696.8,PEN,451-7769608-6-77,156-4931339-0-11,BBVA,,Ciudad tiempo pablo.,COMPLETADA,WEB,af93878b2ab86e66
2025-10-03 10:52:16.043113,OP-00004640,RETIRO,25239.16,PEN,508-2569571-1-44,835-1647814-0-75,FALABELLA,,Mañana operación rosa aspectos ya amigo grupo.,COMPLETADA,ATM,2b2658a68c3badbd
2025-09-05 23:40:16.043113,OP-00006876,DEPOSITO,38651.77,PEN,469-3708940-1-87,653-1039469-3-75,BANBIF,BBVA,Fue tiene poner etapa.,COMPLETADA,MOBILE,ebe3eb117fa968d0
2025-10-05 10:44:16.043113,OP-00003185,RETIRO,11575.04,PEN,634-3197353-1-31,,PICHINCHA,CITIBANK,Amor sería democracia minutos allá este tienen.,PENDIENTE,MOBILE,a0d8ec147c5cb68a
2025-09-12 22:35:16.043113,OP-00003786,TRANSFERENCIA,3026.95,USD,413-8119374-7-71,864-4882732-5-36,BBVA,BN,Soy quién oposición reunión alrededor.,COMPLETADA,MOBILE,1fd141dd0f8d43a8
2025-09-15 13:20:16.043113,OP-00009955,TRANSFERENCIA,28193.54,PEN,812-2799336-7-31,354-8993814-0-31,BANBIF,SCOTIABANK,Dirección me minutos hijo trabajo cultura hombre.,COMPLETADA,SUCURSAL,65de6010ceda2dcd
2025-09-16 09:46:16.043113,OP-00002927,RETIRO,1014.34,PEN,196-1747385-1-46,183-4796885-2-12,INTERBANK,CITIBANK,Niño imagen dirección visto.,COMPLETADA,WEB,2d72f062a6d6d4f3
2025-10-03 02:58:16.043113,OP-00006081,TRANSFERENCIA,25120.1,USD,521-3862680-4-59,143-7923832-7-56,RIPLEY,BCP,Da cama salir.,COMPLETADA,MOBILE,11244441293dd4d8
2025-09-08 22:57:16.043113,OP-00001524,RETIRO,40329.67,PEN,311-7952044-1-89,121-6560087-7-27,PICHINCHA,BBVA,Permite revolución consejo curso tenemos algunas permite voluntad.,COMPLETADA,MOBILE,304476b823b8c448
2025-09-14 06:56:16.043113,OP-00006430,DEPOSITO,39304.96,PEN,150-7891172-7-97,247-7384730-6-87,BCP,FALABELLA,Nacional tuvo queda alguien.,PENDIENTE,ATM,588c436d18279420
2025-10-04 03:21:16.043113,OP-00005467,DEPOSITO,24720.28,USD,398-6916999-0-30,,CITIBANK,BANBIF,Noche considera otro tenemos organización.,COMPLETADA,SUCURSAL,d0d85265ab607a0c
2025-09-26 07:42:16.043113,OP-00001579,RETIRO,48769.35,PEN,404-9337369-6-68,,RIPLEY,BBVA,Saber sabe primera.,COMPLETADA,ATM,53a1bc40bfec638f
2025-10-05 08:11:16.043113,OP-00004903,RETIRO,29625.9,PEN,343-1671133-2-86,,BBVA,BCP,Doctor comercio anterior hora millones.,COMPLETADA,MOBILE,0f70df467effc07a
2025-09-20 01:37:16.043113,OP-00009988,RETIRO,30118.86,PEN,791-6345379-1-82,,BANBIF,BANBIF,López público conciencia causa.,COMPLETADA,SUCURSAL,a853cf26ad8a3507
2025-09-28 20:29:16.043113,OP-00008171,DEPOSITO,43307.71,PEN,164-9651983-0-21,327-7104055-5-12,INTERBANK,,Mitad decir clase.,COMPLETADA,WEB,222021e670b5a71f
2025-09-22 03:52:16.043113,OP-00002630,RETIRO,22914.04,PEN,426-1965191-5-24,736-3122097-0-62,FALABELLA,,Nuestras vino resto lugar hemos fondo.,COMPLETADA,MOBILE,348ea0059a392870
2025-10-04 19:37:16.043113,OP-00005318,TRANSFERENCIA,5906.53,PEN,128-7002387-4-13,,BBVA,BN,No energía revolución.,COMPLETADA,SUCURSAL,f2f7ab9530418dfa
2025-09-19 04:01:16.043113,OP-00005118,TRANSFERENCIA,31052.19,PEN,457-1793003-7-27,617-1104156-4-58,INTERBANK,BN,Un luis nuestro tu.,COMPLETADA,MOBILE,3e79331e6c3b91b5
2025-09-23 16:19:16.043113,OP-00000711,RETIRO,28423.35,PEN,958-1914970-4-88,980-8541995-0-74,BCP,RIPLEY,Siete propuesta octubre difícil buenos.,COMPLETADA,WEB,90ae7f018d04260c
2025-10-03 15:55:16.043113,OP-00004140,RETIRO,45208.18,PEN,625-5246770-1-86,507-8834557-8-15,FALABELLA,FALABELLA,Empresas dicho izquierda hace todo formación políticas realidad.,COMPLETADA,WEB,8bdca900957b39b6
2025-09-30 23:23:16.043113,OP-00002110,RETIRO,46916.6,PEN,448-4601443-3-87,,FALABELLA,BN,Hacía sociales sociedad trabajar hoy pero.,COMPLETADA,MOBILE,254072cdbe47a607
2025-09-23 16:54:16.043113,OP-00009925,DEPOSITO,34420.27,PEN,492-3985710-5-72,,FALABELLA,PICHINCHA,Consumo resultados esos memoria tiene podía dios.,COMPLETADA,MOBILE,25cbf830723b6f75
2025-09-26 15:11:16.043113,OP-00000544,RETIRO,13851.26,PEN,210-2192347-1-75,832-7315799-1-35,CITIBANK,,Policía programa estos ciento.,COMPLETADA,ATM,edbc31072cfcc1cb
2025-09-19 23:18:16.043113,OP-00000036,RETIRO,16209.94,PEN,689-8328799-5-48,552-3283445-8-67,BBVA,FALABELLA,Vez experiencia jefe industria pasado estilo.,COMPLETADA,SUCURSAL,8eb7dd2fd1152af5
2025-09-11 01:32:16.043113,OP-00009199,TRANSFERENCIA,25120.87,PEN,697-8922188-8-13,,BCP,RIPLEY,Unidad muerte algunas oficial llegado aun.,FALLIDA,WEB,9c39dcd698fcf10c
2025-10-03 14:38:16.043113,OP-00006640,DEPOSITO,39492.11,PEN,896-5432222-2-22,798-1027028-0-68,BN,SCOTIABANK,Secretario jefe campaña es ambiente.,COMPLETADA,WEB,11f9496ce77abfd7
2025-09-17 07:52:16.043113,OP-00008077,DEPOSITO,9742.88,USD,943-1032323-3-18,537-4793231-8-79,CITIBANK,SCOTIABANK,Precios pueda función.,COMPLETADA,ATM,863e15f22d91843d
2025-09-12 00:23:16.043113,OP-00000034,DEPOSITO,27517.79,PEN,604-7512737-6-51,396-8046304-2-78,BN,BANBIF,Jorge memoria verdad diario marcha.,PENDIENTE,WEB,b12fe167b963a181
2025-09-17 12:11:16.043113,OP-00000319,TRANSFERENCIA,33274.85,PEN,562-9154186-6-96,258-6975857-7-97,PICHINCHA,,He pequeño éxito estudios.,COMPLETADA,ATM,bbcd7314e193a279
2025-09-25 11:03:16.043113,OP-00005004,DEPOSITO,44910.51,PEN,651-2856079-0-97,555-8816245-7-19,RIPLEY,PICHINCHA,Le además hermano blanco vista modelo.,COMPLETADA,WEB,100898222ac45aac
2025-09-18 04:24:16.043113,OP-00007727,DEPOSITO,12059.98,PEN,555-2690627-2-70,,INTERBANK,FALABELLA,Todavía éxito siempre público pueda sociales una.,COMPLETADA,MOBILE,f511fc44fe1b9569
2025-09-12 14:15:16.043113,OP-00002681,DEPOSITO,3538.62,USD,493-8651312-6-61,468-2363643-7-19,CITIBANK,BCP,Elecciones radio otras puerto.,COMPLETADA,WEB,8faea40d5d7dfc50
2025-10-01 07:30:16.043113,OP-00004922,DEPOSITO,40699.0,PEN,393-5187578-7-11,792-7197093-2-74,BBVA,BCP,Pacientes vuelta siguientes realizar.,COMPLETADA,MOBILE,87ea116bdfd8fccd
2025-09-26 20:53:16.043113,OP-00002068,DEPOSITO,38383.62,PEN,499-7475123-5-56,181-9811826-8-27,INTERBANK,PICHINCHA,Otro base más cierta pp manos.,COMPLETADA,MOBILE,d6b7486a588be7bb
2025-09-04 23:03:16.043113,OP-00003101,RETIRO,32385.65,PEN,394-2257454-5-49,146-2636866-3-37,CITIBANK,BCP,Actual ahí hecho bastante nombre apenas puerta organización.,COMPLETADA,WEB,ad9237691ec5d7b0
2025-09-30 23:33:16.043113,OP-00003835,DEPOSITO,21908.14,PEN,764-3378835-0-64,,BN,BANBIF,U existencia s pesar.,COMPLETADA,MOBILE,e4050d635a00e919
2025-09-23 23:56:16.043113,OP-00005787,TRANSFERENCIA,35101.21,USD,491-4947767-8-68,,CITIBANK,CITIBANK,País mis prensa.,COMPLETADA,MOBILE,4040b5c6e321e2b1
2025-09-11 18:57:16.043113,OP-00007919,TRANSFERENCIA,632.46,PEN,136-7058183-3-52,,FALABELLA,,Campaña manuel meses será conocer donde unión.,COMPLETADA,ATM,656a55ce54bd7f7b
2025-09-20 03:34:16.043113,OP-00009346,RETIRO,2900.18,PEN,657-6125293-8-60,,FALABELLA,INTERBANK,Nombre pública zonas tomar algunas.,COMPLETADA,WEB,021fa63842f7d8da
2025-09-06 10:45:16.043113,OP-00009894,DEPOSITO,30249.26,PEN,555-8528886-0-71,,BCP,,Cerca defensa tenido dio cantidad sector.,FALLIDA,ATM,0c4bd67ffb4d22cb
2025-09-17 01:50:16.043113,OP-00005639,TRANSFERENCIA,10469.63,PEN,244-7789488-8-53,488-5201964-4-28,RIPLEY,RIPLEY,Mis supuesto partido has señaló padres.,FALLIDA,ATM,5845ec856b3556f3
2025-09-26 14:17:16.043113,OP-00005994,DEPOSITO,12998.22,PEN,436-9160014-8-28,506-9337683-8-76,RIPLEY,,Blanco muestra ninguna si centro algún respuesta.,COMPLETADA,WEB,91e6ce3cae429031
2025-09-21 18:08:16.043113,OP-00000425,TRANSFERENCIA,28494.21,PEN,354-4644251-4-69,,FALABELLA,,Allá posibilidades carta.,COMPLETADA,WEB,07c4121dbbd4376c
2025-09-04 15:49:16.043113,OP-00008741,DEPOSITO,7275.58,PEN,712-8542862-8-24,233-5345498-5-12,BBVA,,Puerto problemas sola considera carne.,COMPLETADA,MOBILE,a2574463ca6491c0
2025-10-02 06:49:16.043113,OP-00002593,DEPOSITO,2397.08,PEN,363-5715426-4-28,,BANBIF,RIPLEY,Grupo unión pacientes sector.,COMPLETADA,MOBILE,d486244e75f933bb
2025-09-12 08:45:16.043113,OP-00008656,RETIRO,19428.16,PEN,343-8688821-7-23,639-7185361-1-33,BN,CITIBANK,Las república modelo imagen.,COMPLETADA,MOBILE,d289a1c08bc33cd4
2025-09-28 21:34:16.043113,OP-00003795,RETIRO,10765.4,PEN,905-4002952-6-75,427-5865982-3-44,FALABELLA,INTERBANK,Segundo pasa he vamos lenguaje apenas.,COMPLETADA,MOBILE,c87a3f5e5732f352
2025-09-19 08:45:16.043113,OP-00004930,DEPOSITO,16534.7,PEN,563-1173124-5-95,,CITIBANK,CITIBANK,Mucha diferencia alta peor comercio existencia.,COMPLETADA,WEB,490d2031cb0541a2
2025-10-02 00:58:16.043113,OP-00006396,DEPOSITO,25242.92,PEN,732-8848342-0-37,702-3332704-6-23,CITIBANK,PICHINCHA,Lado ojos natural españa nuevo has.,COMPLETADA,MOBILE,83534bfc8fb3b940
2025-09-04 13:47:16.043113,OP-00001684,DEPOSITO,87.85,PEN,450-7153094-7-17,168-7580350-0-44,CITIBANK,INTERBANK,Experiencia largo elementos dio madre encuentra.,COMPLETADA,WEB,3390a671b3aeffe3
2025-09-21 09:26:16.043113,OP-00002877,RETIRO,10269.14,PEN,554-5925163-3-75,,RIPLEY,SCOTIABANK,Hermano domingo m energía objeto incluso igual domingo.,COMPLETADA,SUCURSAL,efefa9c09425d0f4
2025-09-28 11:14:16.043113,OP-00008919,DEPOSITO,216.47,PEN,477-2475442-7-10,835-7126411-6-77,RIPLEY,FALABELLA,Equipo puso hacer mantener aunque comenzó.,COMPLETADA,ATM,283bcec6ebb388f4
2025-09-15 07:13:16.043113,OP-00005573,DEPOSITO,14493.27,USD,800-7153327-7-57,505-3936543-3-88,BANBIF,INTERBANK,Rafael razón estudio niveles saber poder.,PENDIENTE,ATM,361c8b7bd7da8cc6
2025-09-17 12:49:16.043113,OP-00000347,TRANSFERENCIA,16945.2,PEN,244-5025651-7-44,263-5583336-5-84,BCP,,Trata forma y falta total todavía.,COMPLETADA,WEB,1027c44dd8a92cb4
2025-09-08 13:11:16.043113,OP-00003449,TRANSFERENCIA,2118.18,PEN,965-2631115-3-65,442-8021368-6-63,CITIBANK,RIPLEY,Favor aquellas generales presencia negro voz población.,COMPLETADA,MOBILE,448e60ad787af71a
2025-09-25 07:01:16.043113,OP-00005012,DEPOSITO,33855.63,PEN,952-1139452-3-59,,BANBIF,PICHINCHA,Pequeña largo me investigación ello algún unión ex.,COMPLETADA,MOBILE,b3d6634179dd741c
2025-09-29 16:44:16.043113,OP-00009013,TRANSFERENCIA,2318.77,PEN,484-6390399-3-88,891-9768958-2-33,BN,FALABELLA,Solamente efecto etapa hablar construcción.,COMPLETADA,WEB,e9c4fcbd77630f2b
2025-09-16 00:51:16.043113,OP-00005225,DEPOSITO,19619.29,PEN,309-1026832-8-83,827-8842765-8-25,BBVA,,Ideas sé muy dan cinco.,COMPLETADA,MOBILE,a635ce82cb116c3d
2025-10-05 05:38:16.043113,OP-00008710,DEPOSITO,28970.75,PEN,959-6340111-8-56,,BCP,BCP,Mi forma puedo.,COMPLETADA,SUCURSAL,fd20488edc56645e
2025-09-18 21:38:16.043113,OP-00008275,TRANSFERENCIA,27138.74,PEN,627-9318872-0-42,527-2643073-0-22,BN,SCOTIABANK,Trabajadores militares misma proceso.,COMPLETADA,WEB,58f1e9839ae11853
2025-09-07 19:54:16.043113,OP-00001651,TRANSFERENCIA,28262.47,PEN,462-3727128-4-34,658-3957277-2-56,INTERBANK,RIPLEY,Capacidad estados ayuda muy datos.,COMPLETADA,WEB,16d9f81d73093313
2025-09-28 13:01:16.043113,OP-00009119,RETIRO,40687.85,PEN,596-6013889-6-42,353-8464876-7-96,BCP,RIPLEY,Lucha paciente sentido allí amor ese siete.,COMPLETADA,MOBILE,b47a4285664ec88b
2025-09-27 19:02:16.043113,OP-00004697,DEPOSITO,530.45,PEN,217-1702440-0-74,,FALABELLA,,Productos decía importantes humana existen.,COMPLETADA,MOBILE,f595196a0f8cda39
2025-09-17 14:54:16.043113,OP-00000470,DEPOSITO,5822.78,USD,387-1837794-0-85,350-6173661-5-71,BCP,,Nombre cuerpo donde.,COMPLETADA,WEB,e0ccf50e89af719a
2025-09-17 19:21:16.043113,OP-00009879,DEPOSITO,30041.11,USD,274-4044199-5-15,982-2543458-2-64,INTERBANK,PICHINCHA,Elementos siguientes momentos personas mucho sean pensar.,COMPLETADA,WEB,0997e141f8bf31ec
2025-09-12 21:38:16.043113,OP-00008234,RETIRO,44401.34,PEN,722-9974790-1-84,,BANBIF,FALABELLA,Éste ojos habla plaza presenta encuentran.,FALLIDA,WEB,17c28065101daac4
2025-09-14 13:52:16.043113,OP-00000968,RETIRO,14526.64,PEN,136-4002668-7-56,411-5581338-4-46,INTERBANK,BCP,Tiene hicieron español unión.,COMPLETADA,WEB,a0df627c81b17ea6
2025-09-30 19:36:16.043113,OP-00006197,RETIRO,22954.9,PEN,283-4133415-2-31,210-9625285-5-96,CITIBANK,BANBIF,Volver capaz militares.,COMPLETADA,ATM,949f506fe0ac5629
2025-09-09 18:19:16.043113,OP-00001331,DEPOSITO,6481.56,PEN,396-5033236-5-71,,BBVA,BBVA,Vida fútbol ésta propios.,COMPLETADA,SUCURSAL,5d0b1e060177bbb7
2025-10-05 05:51:16.043113,OP-00000451,DEPOSITO,24122.43,USD,274-9807112-6-36,,BBVA,,Demás causa así problema hoy nuestro electoral.,COMPLETADA,ATM,0fd857b01ad0fac8
2025-09-10 08:13:16.043113,OP-00008941,DEPOSITO,33135.99,PEN,709-5551847-4-59,217-9189485-3-35,RIPLEY,INTERBANK,Fuego españoles resultado actitud pie quedó.,COMPLETADA,WEB,12b2c7366fe1bfc0
2025-09-23 02:12:16.043113,OP-00008676,DEPOSITO,31622.36,USD,670-4591476-3-72,253-5838309-8-28,BN,,Explicó adelante muerte música cosa aquella problema.,COMPLETADA,WEB,77ca76280f3d5d24
2025-09-21 04:50:16.043113,OP-00004793,DEPOSITO,25672.21,PEN,752-2214920-8-72,563-7459672-1-47,INTERBANK,CITIBANK,Suerte todas ministro actitud además varios señor.,PENDIENTE,MOBILE,07df7165a1c1c695
2025-09-27 17:33:16.043113,OP-00008759,TRANSFERENCIA,17893.82,USD,504-9296956-6-47,,CITIBANK,,Propuesta m políticas habla.,FALLIDA,WEB,607b60089856a8b1
2025-09-07 16:43:16.043113,OP-00004748,RETIRO,34699.38,PEN,708-6371768-5-75,,FALABELLA,BANBIF,Iglesia tipos llamado.,COMPLETADA,ATM,7f175f64fc53db65
2025-09-07 08:34:16.043113,OP-00000563,TRANSFERENCIA,19279.47,PEN,826-9197808-3-83,542-1098343-1-49,BCP,BBVA,Región caso especial jorge democracia.,PENDIENTE,MOBILE,1ec99e246f586a30
2025-09-11 17:43:16.043113,OP-00003669,DEPOSITO,29888.87,PEN,278-4526752-1-70,593-8377024-0-47,CITIBANK,CITIBANK,Gracias carrera victoria ellas san tienen camino.,COMPLETADA,WEB,7feffa4c8766ed73
2025-09-09 14:00:16.043113,OP-00000136,DEPOSITO,862.36,PEN,502-7804944-4-30,890-8746662-6-61,BCP,BCP,Ellas salud unas demás acto.,COMPLETADA,WEB,c60473391421a374
2025-09-29 03:49:16.043113,OP-00003686,RETIRO,24282.49,PEN,603-5625389-0-32,,CITIBANK,BCP,Hubiera mira mismos.,COMPLETADA,WEB,dae55dea133f0adb
2025-09-29 15:06:16.043113,OP-00002190,TRANSFERENCIA,42147.83,PEN,839-8106507-1-93,140-7437146-0-33,PICHINCHA,BCP,Económica dar podemos aun ley más educación mil.,COMPLETADA,SUCURSAL,c87f96a4f3db1f94
2025-09-09 13:22:16.043113,OP-00000971,RETIRO,25297.26,PEN,726-8669815-2-51,158-4880457-5-56,BN,BBVA,Rafael diez entonces ninguna ellos valor.,COMPLETADA,WEB,5052b7d45f7e050b
2025-09-19 03:14:16.043113,OP-00008820,DEPOSITO,35016.64,PEN,324-8905891-2-14,,BCP,BN,Pedro mira debido pie.,COMPLETADA,ATM,beeec545e3e444c7
2025-09-12 01:33:16.043113,OP-00003708,TRANSFERENCIA,17742.51,PEN,608-6842378-3-23,777-2117048-1-11,SCOTIABANK,BCP,Actividad marco puerta entrar aquel bastante etc.,COMPLETADA,MOBILE,95657ff931cbb3d3
2025-09-28 05:10:16.043113,OP-00002956,TRANSFERENCIA,5025.52,USD,626-4230500-2-68,957-6700741-0-38,PICHINCHA,BN,Calle plazo primera.,COMPLETADA,WEB,2a1a0a277b5fb2af
2025-09-19 19:28:16.043113,OP-00004000,RETIRO,20242.01,PEN,374-6758029-6-18,452-3484229-1-60,PICHINCHA,RIPLEY,Flores quiero sean ambiente intereses idea.,COMPLETADA,MOBILE,885c2f636001b7e4
2025-09-18 07:45:16.043113,OP-00004846,RETIRO,26921.95,PEN,388-2968390-0-75,757-3282129-1-15,BBVA,BN,Mayor éste viene sido.,COMPLETADA,SUCURSAL,1d1b205864d0d52b
2025-09-16 06:44:16.043113,OP-00006428,TRANSFERENCIA,36730.32,PEN,841-8631285-0-93,555-1126957-7-59,PICHINCHA,PICHINCHA,Padre viejo económico total.,COMPLETADA,SUCURSAL,4dc8383e260e5920
2025-09-04 17:09:16.043113,OP-00000040,DEPOSITO,10888.4,PEN,840-6252742-2-10,,BN,,Mal llevar ahora edad términos n cada.,FALLIDA,WEB,3600e43d7c5fb007
2025-09-24 03:52:16.043113,OP-00002184,DEPOSITO,19197.9,USD,478-4234114-3-75,,BN,,También nivel jamás muchos apoyo.,COMPLETADA,MOBILE,a31a6aa571f87df2
2025-09-06 09:37:16.043113,OP-00004451,RETIRO,35155.99,PEN,466-4837255-6-29,,CITIBANK,BN,Estaban consecuencia memoria pese.,COMPLETADA,MOBILE,571bc6d3c8750562
2025-09-18 22:27:16.043113,OP-00002819,RETIRO,3739.76,USD,723-1606899-4-85,852-4399239-3-93,FALABELLA,BBVA,Necesidad director datos personal propio pacientes.,COMPLETADA,WEB,15e68109f8318f0d
2025-10-01 16:15:16.043113,OP-00000714,RETIRO,7264.3,PEN,179-6935103-8-19,,BANBIF,,País baja apenas manera próximo relación hubo.,COMPLETADA,WEB,e4e236f3dbb6dd79
2025-09-20 19:03:16.043113,OP-00008378,TRANSFERENCIA,7913.2,PEN,618-3417590-3-82,456-4616026-5-11,INTERBANK,INTERBANK,Nada alta nuevas española hija fuerte desarrollo.,COMPLETADA,WEB,42f4a026acdd4f1d
2025-09-17 09:50:16.043113,OP-00002471,RETIRO,49332.75,PEN,511-9598581-3-58,,INTERBANK,SCOTIABANK,Semanas paso secretario diez características grande miembros.,COMPLETADA,ATM,7fb9916a3b33057d
2025-09-29 22:59:16.043113,OP-00008073,DEPOSITO,49609.41,PEN,453-9124679-7-19,,BCP,,Estas igual ayuda entrar hacerlo cine uso.,COMPLETADA,WEB,60dc38c12037c2d3
2025-09-09 09:31:16.043113,OP-00004195,RETIRO,8765.26,PEN,129-8836615-0-63,412-7166233-3-23,INTERBANK,BANBIF,Cuenta vuelta soy iglesia presencia casos.,COMPLETADA,ATM,01c53cd450c8d6df
2025-09-06 10:38:16.043113,OP-00005799,DEPOSITO,22025.79,PEN,913-8476335-2-67,397-6951514-6-79,PICHINCHA,BBVA,Club barcelona concepto.,COMPLETADA,SUCURSAL,8a081c18c13144e9
2025-09-08 19:20:16.043113,OP-00008911,RETIRO,31602.76,PEN,303-6689843-3-97,,PICHINCHA,CITIBANK,Crecimiento más presencia duda forma.,COMPLETADA,MOBILE,a4fcbb7fe67f1b76
2025-09-25 08:56:16.043113,OP-00009555,RETIRO,10361.42,PEN,835-5195694-1-76,782-3400745-4-62,FALABELLA,,Vuelta mis centros ejército.,COMPLETADA,SUCURSAL,870fcfcf7dc3f4f0
2025-09-20 22:15:16.043113,OP-00007404,TRANSFERENCIA,34873.65,USD,332-5717634-8-23,916-9219300-5-48,INTERBANK,RIPLEY,Asociación interés buenos producto entrada.,COMPLETADA,WEB,0e5fb0a10e7c2ccb
2025-09-19 16:08:16.043113,OP-00005770,DEPOSITO,16296.02,PEN,143-5218163-0-92,386-7686064-8-32,BCP,,Pie hasta explicó pudo políticos marco ciudad.,COMPLETADA,MOBILE,a8c28fb84ce426ec
2025-10-03 02:10:16.043113,OP-00007939,TRANSFERENCIA,11347.23,PEN,675-6267173-0-51,173-6292466-7-37,PICHINCHA,BCP,Pedro vida comercio.,COMPLETADA,MOBILE,637261ba913d352c
